train lock skipped (--allow-parallel-train)
resumed weights from checkpoints/atom_native_obligatory_hard/atom_native.pt (recorded step=3458000, legacy_surface_migrated=False, span_head_migrated=False)
atomizer pack_mode=linguistic max_span_bytes=32
dynamics on load: energy_decay=0.30000001192092896 -> 0.30000001192092896 (repaired=False, bounds=(0.3, 0.95))
field_next_packet_weight=0.05 (predict next packet features from α+atoms)
MERGE gates: enable=True coherence_thr=0.450 energy_floor=0.080
field_obligatory_hard=ON hard-v2+ (mix_floor=1.0, freeze bypass, logits=frozen+cap*(α_MLP+payload_prod))
optimizer groups: field/other lr=0.0003 (13 tensors), surface lr=0.0003 (16 tensors); energy_decay_bounds=(0.3, 0.95); field_max_rms=3.0
stream mode: 10 shard(s), chunk_bytes=1048576, loop_shards=True, stream_buffer=2048, stream_prefetch=True
optimizer restore skipped: loaded state dict contains a parameter group that doesn't match the size of optimizer's group
step=3459100 (run 1100/25000) loss=6.65796 byte_ppl=42.244 atoms=1 merges=33965 field=59.5358 rms=0.9302 scale=1.0000 fcos=0.777 ign=0.0000 prn=nan nxp=0.029 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459150 (run 1150/25000) loss=6.10059 byte_ppl=29.598 atoms=1 merges=34015 field=64.7319 rms=1.0114 scale=1.0000 fcos=0.779 ign=0.0000 prn=nan nxp=0.072 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459200 (run 1200/25000) loss=5.70233 byte_ppl=34.386 atoms=1 merges=34065 field=70.2178 rms=1.0972 scale=1.0000 fcos=0.777 ign=0.0000 prn=nan nxp=0.074 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459250 (run 1250/25000) loss=5.94450 byte_ppl=30.500 atoms=1 merges=34115 field=76.1375 rms=1.1896 scale=1.0000 fcos=0.775 ign=0.0000 prn=nan nxp=0.105 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459300 (run 1300/25000) loss=6.77304 byte_ppl=23.170 atoms=1 merges=34164 field=82.4554 rms=1.2884 scale=1.0000 fcos=0.772 ign=0.0000 prn=nan nxp=0.107 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459350 (run 1350/25000) loss=4.73210 byte_ppl=13.168 atoms=1 merges=34214 field=89.2103 rms=1.3939 scale=1.0000 fcos=0.771 ign=0.0000 prn=nan nxp=0.043 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459400 (run 1400/25000) loss=8.52994 byte_ppl=63.014 atoms=1 merges=34264 field=96.4825 rms=1.5075 scale=1.0000 fcos=0.770 ign=0.0000 prn=nan nxp=0.372 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459450 (run 1450/25000) loss=5.68068 byte_ppl=33.665 atoms=1 merges=34314 field=104.1599 rms=1.6275 scale=1.0000 fcos=0.766 ign=0.0000 prn=nan nxp=0.027 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459500 (run 1500/25000) loss=6.20656 byte_ppl=31.873 atoms=1 merges=34364 field=112.4610 rms=1.7572 scale=1.0000 fcos=0.765 ign=0.0000 prn=nan nxp=0.165 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459550 (run 1550/25000) loss=7.88767 byte_ppl=39.137 atoms=1 merges=34413 field=121.2233 rms=1.8941 scale=1.0000 fcos=0.764 ign=0.0000 prn=nan nxp=0.037 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459600 (run 1600/25000) loss=2.09821 byte_ppl=1.360 atoms=1 merges=34463 field=130.6213 rms=2.0410 scale=1.0000 fcos=0.761 ign=0.0000 prn=nan nxp=0.068 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459650 (run 1650/25000) loss=5.12401 byte_ppl=10.603 atoms=1 merges=34513 field=140.6287 rms=2.1973 scale=1.0000 fcos=0.760 ign=0.0000 prn=nan nxp=0.186 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459700 (run 1700/25000) loss=5.10550 byte_ppl=13.367 atoms=1 merges=34563 field=151.4342 rms=2.3662 scale=1.0000 fcos=0.757 ign=0.0000 prn=nan nxp=0.020 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459750 (run 1750/25000) loss=7.12177 byte_ppl=32.299 atoms=1 merges=34613 field=162.9844 rms=2.5466 scale=1.0000 fcos=0.753 ign=0.0000 prn=nan nxp=0.176 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459800 (run 1800/25000) loss=6.63352 byte_ppl=19.248 atoms=1 merges=34662 field=175.1797 rms=2.7372 scale=1.0000 fcos=0.751 ign=0.0000 prn=nan nxp=0.045 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459850 (run 1850/25000) loss=2.14042 byte_ppl=1.350 atoms=1 merges=34712 field=188.2332 rms=2.9411 scale=1.0000 fcos=0.748 ign=0.0000 prn=nan nxp=0.065 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459900 (run 1900/25000) loss=6.07350 byte_ppl=38.069 atoms=1 merges=34762 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.746 ign=0.0000 prn=nan nxp=0.146 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3459950 (run 1950/25000) loss=9.88835 byte_ppl=97.786 atoms=1 merges=34812 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.745 ign=0.0000 prn=nan nxp=0.072 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460000 (run 2000/25000) loss=3.98469 byte_ppl=8.372 atoms=1 merges=34862 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.742 ign=0.0000 prn=nan nxp=0.218 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460050 (run 2050/25000) loss=5.20613 byte_ppl=27.318 atoms=1 merges=34911 field=191.9998 rms=3.0000 scale=0.9985 fcos=0.739 ign=0.0000 prn=nan nxp=0.044 mph=0.500 bytes=524288 pkts=27462 shard=0
step=3460100 (run 2100/25000) loss=5.29138 byte_ppl=33.245 atoms=1 merges=34961 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.737 ign=0.0000 prn=nan nxp=0.072 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460150 (run 2150/25000) loss=6.62482 byte_ppl=69.375 atoms=1 merges=35011 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.734 ign=0.0000 prn=nan nxp=0.067 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460200 (run 2200/25000) loss=5.43586 byte_ppl=22.768 atoms=1 merges=35061 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.731 ign=0.0000 prn=nan nxp=0.115 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460250 (run 2250/25000) loss=1.97175 byte_ppl=1.259 atoms=1 merges=35111 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.729 ign=0.0000 prn=nan nxp=0.107 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460300 (run 2300/25000) loss=5.64787 byte_ppl=15.600 atoms=1 merges=35161 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.726 ign=0.0000 prn=nan nxp=0.029 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460350 (run 2350/25000) loss=1.91804 byte_ppl=1.230 atoms=1 merges=35210 field=191.9998 rms=3.0000 scale=0.9985 fcos=0.723 ign=0.0000 prn=nan nxp=0.091 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460400 (run 2400/25000) loss=6.51340 byte_ppl=108.139 atoms=1 merges=35260 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.720 ign=0.0000 prn=nan nxp=0.139 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460450 (run 2450/25000) loss=6.99032 byte_ppl=18.879 atoms=1 merges=35310 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.717 ign=0.0000 prn=nan nxp=0.124 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460500 (run 2500/25000) loss=5.01958 byte_ppl=23.761 atoms=1 merges=35360 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.715 ign=0.0000 prn=nan nxp=0.042 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460550 (run 2550/25000) loss=6.94604 byte_ppl=18.999 atoms=1 merges=35410 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.712 ign=0.0000 prn=nan nxp=0.090 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460600 (run 2600/25000) loss=6.37825 byte_ppl=11.792 atoms=1 merges=35459 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.710 ign=0.0000 prn=nan nxp=0.133 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460650 (run 2650/25000) loss=8.24125 byte_ppl=25.617 atoms=1 merges=35509 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.707 ign=0.0000 prn=nan nxp=0.111 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460700 (run 2700/25000) loss=6.16381 byte_ppl=30.544 atoms=1 merges=35559 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.705 ign=0.0000 prn=nan nxp=0.160 mph=0.693 bytes=524288 pkts=27462 shard=0
